ticker,address,city,state,zip
AAPL,One Apple Park Way,Cupertino,CA,95014
MSFT,One Microsoft Way,Redmond,WA,98052-6399
GOOG,1600 Amphitheatre Parkway,Mountain View,CA,94043
AMZN,410 Terry Avenue North,Seattle,WA,98109-5210
NVDA,2788 San Tomas Expressway,Santa Clara,CA,95051
TSLA,1 Tesla Road,Austin,TX,78725
BRK-B,3555 Farnam Street,Omaha,NE,68131
META,1601 Willow Road,Menlo Park,CA,94025
V,PO Box 8999,San Francisco,CA,94128-8999
UNH,UnitedHealth Group Center,Minnetonka,MN,55343
LLY,Lilly Corporate Center,Indianapolis,IN,46285
WMT,702 South West 8th Street,Bentonville,AR,72716
JPM,383 Madison Avenue,New York,NY,10179
JNJ,One Johnson & Johnson Plaza,New Brunswick,NJ,08933
XOM,5959 Las Colinas Boulevard,Irving,TX,75039-2298
MA,2000 Purchase Street,Purchase,NY,10577
PG,One Procter & Gamble Plaza,Cincinnati,OH,45202
AVGO,1320 Ridder Park Drive,San Jose,CA,95131-2313
ORCL,2300 Oracle Way,Austin,TX,78741
HD,2455 Paces Ferry Road,Atlanta,GA,30339
MRK,126 East Lincoln Avenue,Rahway,NJ,07065
CVX,6001 Bollinger Canyon Road,San Ramon,CA,94583-2324
KO,One Coca-Cola Plaza,Atlanta,GA,30313
PEP,700 Anderson Hill Road,Purchase,NY,10577
ABBV,1 North Waukegan Road,North Chicago,IL,60064-6400
COST,999 Lake Drive,Issaquah,WA,98027
BAC,Bank of America Corporate Center,Charlotte,NC,28255
ADBE,345 Park Avenue,San Jose,CA,95110-2704
MCD,110 North Carpenter Street,Chicago,IL,60607
CSCO,170 West Tasman Drive,San Jose,CA,95134-1706
CRM,Salesforce Tower,San Francisco,CA,94105
PFE,66 Hudson Boulevard East,New York,NY,10001-2192
TMO,168 Third Avenue,Waltham,MA,02451
NFLX,121 Albright Way,Los Gatos,CA,95032
ABT,100 Abbott Park Road,North Chicago,IL,60064-6400
AMD,2485 Augustine Drive,Santa Clara,CA,95054
DHR,"2200 Pennsylvania Avenue, North West",Washington,DC,20037-1701
CMCSA,One Comcast Center,Philadelphia,PA,19103-2838
TMUS,12920 SE 38th Street,Bellevue,WA,98006-1350
NKE,One Bowerman Drive,Beaverton,OR,97005-6453
DIS,500 South Buena Vista Street,Burbank,CA,91521
WFC,420 Montgomery Street,San Francisco,CA,94104
TXN,12500 TI Boulevard,Dallas,TX,75243
VZ,1095 Avenue of the Americas,New York,NY,10036
UPS,"55 Glenlake Parkway, N.E.",Atlanta,GA,30328
PM,677 Washington Boulevard,Stamford,CT,06901
NEE,700 Universe Boulevard,Juno Beach,FL,33408
RTX,1000 Wilson Boulevard,Arlington,VA,22209
MS,1585 Broadway,New York,NY,10036
INTC,2200 Mission College Boulevard,Santa Clara,CA,95054-1549
HON,855 South Mint Street,Charlotte,NC,28202
BMY,430 East 29th Street,New York,NY,10016
LOW,1000 Lowe’s Boulevard,Mooresville,NC,28117
QCOM,5775 Morehouse Drive,San Diego,CA,92121-1714
BA,929 Long Bridge Drive,Arlington,VA,22202
AXP,200 Vesey Street,New York,NY,10285
SPGI,55 Water Street,New York,NY,10041
INTU,2700 Coast Avenue,Mountain View,CA,94043
UNP,1400 Douglas Street,Omaha,NE,68179
COP,925 North Eldridge Parkway,Houston,TX,77079-2703
IBM,One New Orchard Road,Armonk,NY,10504
AMAT,3050 Bowers Avenue,Santa Clara,CA,95054-3299
AMGN,One Amgen Center Drive,Thousand Oaks,CA,91320-1799
DE,One John Deere Place,Moline,IL,61265
GE,5 Necco Street,Boston,MA,02210
LMT,6801 Rockledge Drive,Bethesda,MD,20817
ISRG,1020 Kifer Road,Sunnyvale,CA,94086-5304
PLD,"Pier 1, Bay 1",San Francisco,CA,94111
T,208 South Akard Street,Dallas,TX,75202
NOW,2225 Lawson Lane,Santa Clara,CA,95054
SYK,2825 Airview Boulevard,Kalamazoo,MI,49002
SBUX,2401 Utah Avenue South,Seattle,WA,98134
GS,200 West Street,New York,NY,10282
ELV,220 Virginia Avenue,Indianapolis,IN,46204
BLK,50 Hudson Yards,New York,NY,10001
SCHW,3000 Schwab Way,Westlake,TX,76262
MDLZ,905 West Fulton Market,Chicago,IL,60607
BKNG,800 Connecticut Avenue,Norwalk,CT,06854
TJX,770 Cochituate Road,Framingham,MA,01701
GILD,333 Lakeside Drive,Foster City,CA,94404
ADI,One Analog Way,Wilmington,MA,01887
MMC,1166 Avenue of the Americas,New York,NY,10036-2774
ADP,One ADP Boulevard,Roseland,NJ,07068
AMT,116 Huntington Avenue,Boston,MA,02116-5749
CVS,One CVS Drive,Woonsocket,RI,02895
VRTX,50 Northern Avenue,Boston,MA,02210
C,388 Greenwich Street,New York,NY,10013
UBER,1515 3rd Street,San Francisco,CA,94158
LRCX,4650 Cushing Parkway,Fremont,CA,94538
CI,900 Cottage Grove Road,Bloomfield,CT,06002
HCA,One Park Plaza,Nashville,TN,37203
MO,6601 West Broad Street,Richmond,VA,23230
ABNB,888 Brannan Street,San Francisco,CA,94103
ZTS,10 Sylvan Way,Parsippany,NJ,07054
PGR,6300 Wilson Mills Road,Mayfield,OH,44143
PANW,3000 Tannery Way,Santa Clara,CA,95054
FI,255 Fiserv Drive,Brookfield,WI,53045
REGN,777 Old Saw Mill River Road,Tarrytown,NY,10591-6707
SO,"30 Ivan Allen Jr. Boulevard, N.W.",Atlanta,GA,30308
